price,promo_price,code,size,url,out_of_stock,shop_id,address,product_count
1598.00,,ПР0070587,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-yagnenok-s-indeykoy-s-dobavleniem-yabloka-i-cherniki-sukh/?oid=572137,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",много
6398.00,5758.2,ПР0070616,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-yagnenok-s-indeykoy-s-dobavleniem-yabloka-i-cherniki-sukh/?oid=572135,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1998.00,1598.4,ПР0072568,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-more-dlya-srednikh-i-krupnykh-porod-s-govyadinoy-sukh/?oid=578203,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8998.00,8098.2,ПР0072569,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-more-dlya-srednikh-i-krupnykh-porod-s-govyadinoy-sukh/?oid=593497,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1998.00,1598.4,ПР0072574,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-more-dlya-srednikh-i-krupnykh-porod-s-krolikom-sukh/?oid=578254,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8998.00,8098.2,ПР0072575,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-more-dlya-srednikh-i-krupnykh-porod-s-krolikom-sukh/?oid=593499,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
1998.00,1598.4,ПР0072558,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-more-dlya-srednikh-i-krupnykh-porod-s-krolikom-sukh/?oid=578214,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
8998.00,8098.2,ПР0072559,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-more-dlya-srednikh-i-krupnykh-porod-s-krolikom-sukh/?oid=593505,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
1498.00,,ПР0070588,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-dlya-krupnykh-porod-kuritsa-s-indeykoy-s-dobavleniem-tykvy-i-shipovnika-sukh/?oid=572093,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
5998.00,5398.2,ПР0070617,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-dlya-krupnykh-porod-kuritsa-s-indeykoy-s-dobavleniem-tykvy-i-shipovnika-sukh/?oid=572091,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
